baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Haplotype_2
FUN.rk.hap1.010163	1235.16754741429	-6.88882361066502	0.142094809265293	-48.4804733282233	0	0	FUN.rk.hap2.010705
FUN.rk.hap1.031837	813.400553672651	3.60490420525819	0.0886033445224862	40.6858705468316	0	0	FUN.rk.hap2.033826
novel_gene_rk.h1.chr19_66732	1365.33525030572	-7.79056967541702	0.198524940677298	-39.2422717711856	0	0	novel_gene_rk.h2.chr19_69267
FUN.rk.hap1.031828	679.884366764212	-3.7869194486847	0.104850128259232	-36.1174517528666	1.20714525984963e-285	4.46885175196332e-282	FUN.rk.hap2.033819
FUN.rk.hap1.033710	3088.94503549459	3.91175678822564	0.110912273831614	35.2689260898613	1.75940479033409e-272	5.21065322705343e-269	FUN.rk.hap2.035588
FUN.rk.hap1.008204	342.099245659677	-3.14573130688968	0.0906757600632039	-34.692086448429	1.03698375598383e-263	2.55927590976809e-260	FUN.rk.hap2.008628
FUN.rk.hap1.010794	464.773487968834	-3.26975206599703	0.0985452498186163	-33.1802098225473	2.07756024005257e-241	4.3949302906712e-238	FUN.rk.hap2.011353
FUN.rk.hap1.024793	1005.64165708214	5.49913227447271	0.166330310529525	33.0615163103213	1.06272118128462e-239	1.96709690655783e-236	FUN.rk.hap2.026179
FUN.rk.hap1.009918	285.110081153683	-3.70536487229459	0.11344944987227	-32.6609329218111	5.60543040437499e-234	9.22280149199832e-231	FUN.rk.hap2.010457
novel_gene_rk.h1.chr11_295109	2489.54906920715	7.26873534945291	0.224829894177803	32.3299327077232	2.65640189250462e-229	3.93359992242083e-226	novel_gene_rk.h2.chr11_316922
FUN.rk.hap1.010575	1297.5611945838	3.83260010507978	0.12094645371976	31.6884041425484	2.24455289686301e-220	3.02157629970431e-217	FUN.rk.hap2.011119
FUN.rk.hap1.004042	1828.13938737197	7.40449930776512	0.239997874839901	30.8523536414835	5.20890474460908e-209	6.4277884548476e-206	FUN.rk.hap2.004257
novel_gene_rk.h1.chr18_199114	509.943436479656	-3.28949290345995	0.112982111023371	-29.1151658759456	2.30748580631089e-186	2.62840383229628e-183	novel_gene_rk.h2.chr18_200779
FUN.rk.hap1.000246	178.762813941303	3.11141035311039	0.115290352056611	26.987603885385	2.06616828654058e-160	2.18541571336378e-157	FUN.rk.hap2.023708
FUN.rk.hap1.015542	2322.85081073773	-1.54184289034384	0.0575488206289386	-26.7919111719992	4.01450030323577e-158	3.96311469935435e-155	FUN.rk.hap2.016323
FUN.rk.hap1.000172	586.816204398383	-3.36220689248418	0.12584604524939	-26.7168259902111	3.00111263003631e-157	2.7775297390986e-154	FUN.rk.hap2.023796
FUN.rk.hap1.036363	215.85582435814	5.21447219324986	0.196092699645977	26.5918731429778	8.42842290814915e-156	7.34165214258074e-153	FUN.rk.hap2.038271
FUN.rk.hap1.016354	138.361708495322	3.68176306998837	0.142670421611078	25.8060712824198	7.57955131420963e-147	6.23544421448979e-144	FUN.rk.hap2.017130
FUN.rk.hap1.030672	1055.66443939736	2.8551356580862	0.110984621854639	25.7255069249656	6.06048968835985e-146	4.72335427922277e-143	FUN.rk.hap2.032636
FUN.rk.hap1.006210	416.301314045132	-3.25665488940677	0.12703424774326	-25.636038684533	6.05141691064379e-145	4.48046908064066e-142	FUN.rk.hap2.006486
FUN.rk.hap1.015325	258.820588661479	-7.55209998487996	0.298400809439269	-25.3085774099315	2.57014665509249e-141	1.81232055564807e-138	FUN.rk.hap2.016088
FUN.rk.hap1.013594	382.769296432402	3.00721737324884	0.118879176322721	25.2964183153923	3.49767158148141e-141	2.35425094448076e-138	FUN.rk.hap2.014261
FUN.rk.hap1.025367	192.971626077983	3.40106893710961	0.134855865309803	25.2200297650857	2.41564518395119e-140	1.55525538625866e-137	FUN.rk.hap2.026792
FUN.rk.hap1.027000	1173.59592928822	6.46506895930659	0.259235016017405	24.9390265969028	2.80894019170549e-137	1.73311609828229e-134	FUN.rk.hap2.028682
FUN.rk.hap1.023645	232.221557275333	3.08885265517725	0.125157766566094	24.6796722243048	1.76806463576934e-134	1.04726004505889e-131	FUN.rk.hap2.024913
FUN.rk.hap1.032381	1505.53446353412	2.91203502658461	0.118098017630547	24.6577807571208	3.03680101512007e-134	1.72957497814992e-131	FUN.rk.hap2.006928
FUN.rk.hap1.039808	613.949587816183	-5.36191708274795	0.218041974669721	-24.5912150211899	1.5684090865317e-133	8.60185250124498e-131	FUN.rk.hap2.041692
FUN.rk.hap1.023004	199.115703784056	2.96044139764351	0.120783077996845	24.510398697745	1.14438069011398e-132	6.05213902114566e-130	FUN.rk.hap2.024287
FUN.rk.hap1.032500	331.456149939043	-3.27339510409656	0.135262656278325	-24.2002870131504	2.20929868056393e-129	1.12811361592382e-126	FUN.rk.hap2.034684
FUN.rk.hap1.025406	886.370820542673	-6.4886430649108	0.270619996883696	-23.9769534388821	4.83819785182947e-127	2.38813445966303e-124	FUN.rk.hap2.026826
FUN.rk.hap1.033137	712.599213689394	-3.96124001553503	0.168745833882372	-23.4745944501142	7.4155000370884e-122	3.5422169209421e-119	FUN.rk.hap2.035283
FUN.rk.hap1.001873	1454.24024547891	3.85999114230694	0.164492199677203	23.4661044711039	9.05390008972691e-122	4.18969226652113e-119	FUN.rk.hap2.002051
FUN.rk.hap1.034790	272.266272358918	3.07600520701765	0.131274745362352	23.4318124063169	2.026237985921e-121	9.09228245318734e-119	FUN.rk.hap2.036685
FUN.rk.hap1.004261	1197.68317664818	-7.17906001335336	0.306712122481469	-23.4065088633304	3.66872856311741e-121	1.5978391930189e-118	FUN.rk.hap2.004491
FUN.rk.hap1.025305	390.278473013806	2.96999649284391	0.126913329926817	23.4017694954228	4.09992120874617e-121	1.73461809311752e-118	FUN.rk.hap2.026718
FUN.rk.hap1.018030	279.37123749991	-6.1512650188195	0.263836170739661	-23.3147145881269	3.14415656335022e-120	1.29329639972472e-117	FUN.rk.hap2.038373
FUN.rk.hap1.034685	769.701731386004	-3.79360361318995	0.163783398773991	-23.1623207332805	1.09233383801179e-118	4.37169715494015e-116	FUN.rk.hap2.036581
FUN.rk.hap1.000232	248.597700617373	-2.22170018419254	0.0961280356426553	-23.1118858233143	3.51628847887191e-118	1.37024209987198e-115	FUN.rk.hap2.023719
FUN.rk.hap1.036303	130.353346454969	-5.02013991687844	0.219046627214585	-22.9181338270986	3.06432402461696e-116	1.16350026042379e-113	FUN.rk.hap2.038216
FUN.rk.hap1.018802	423.513664720757	-6.69763068556225	0.293125344529458	-22.8490330521016	1.49409922406572e-115	5.53115532749128e-113	FUN.rk.hap2.019792
FUN.rk.hap1.017141	204.187943956507	3.39313545888938	0.151437493251942	22.4061781929018	3.42610678285306e-111	1.23740949367044e-108	FUN.rk.hap2.017938
FUN.rk.hap1.025285	447.725509446311	9.09865030729384	0.409936273992959	22.1952798142721	3.8146976247901e-109	1.34495339114028e-106	FUN.rk.hap2.026701
novel_gene_rk.h1.chr03_84098	2127.62680845678	-9.19830788115974	0.417229924455708	-22.0461365352911	1.04035412363381e-107	3.58268927041152e-105	novel_gene_rk.h2.chr03_85939
FUN.rk.hap1.022766	135.151923273291	5.89039279781029	0.26728424878645	22.0379346128866	1.24697274692985e-107	4.19663009921302e-105	FUN.rk.hap2.024087
FUN.rk.hap1.005881	284.937128446796	-2.99812559322412	0.137883382328258	-21.743922600379	7.88624489742061e-105	2.59510032091121e-102	FUN.rk.hap2.006133
FUN.rk.hap1.000329	253.54619231048	2.26366326782191	0.105317231052443	21.4937598074024	1.78089697277068e-102	5.73293964625832e-100	FUN.rk.hap2.000337
FUN.rk.hap1.027365	3158.42085154369	-3.35656103654241	0.156935033748922	-21.3882200574317	1.71997531366296e-101	5.41902009462152e-99	FUN.rk.hap2.029076
FUN.rk.hap1.040344	613.639787860726	-3.71389301362639	0.173791309909144	-21.3698430351204	2.54988622045631e-101	7.86639899010772e-99	FUN.rk.hap2.042212
FUN.rk.hap1.041428	843.44236044005	2.74713723035535	0.128926994259564	21.3076962364036	9.63194036659408e-101	2.91081169282704e-98	FUN.rk.hap2.043287
FUN.rk.hap1.010507	200.474360671057	2.38128675966652	0.112399139321868	21.1859874909489	1.28600975892701e-99	3.80864650203823e-97	FUN.rk.hap2.011051
FUN.rk.hap1.004297	123.360928778233	-3.54024191078767	0.168830986446038	-20.9691478164715	1.25491635875445e-97	3.64368655694821e-95	FUN.rk.hap2.004527
FUN.rk.hap1.021258	338.684718351654	5.58885318682787	0.266627845950153	20.9612509410315	1.4814235197519e-97	4.21863836163194e-95	FUN.rk.hap2.022487
FUN.rk.hap1.016915	273.143574390982	1.44252739783714	0.0691054931716742	20.874279766061	9.1741071382349e-97	2.51574404635153e-94	FUN.rk.hap2.017698
FUN.rk.hap1.028769	113.563371011528	-4.45045442683707	0.213195744572583	-20.8749683806278	9.04287962202664e-97	2.51574404635153e-94	FUN.rk.hap2.030554
FUN.rk.hap1.036963	10426.6804083814	-3.5996613160979	0.173292613702037	-20.7721566384084	7.73081343973217e-96	2.08141609846462e-93	FUN.rk.hap2.038937
FUN.rk.hap1.012109	191.950711403535	2.73501517440301	0.13308463235652	20.5509466117484	7.54770216220425e-94	1.99582810032001e-91	FUN.rk.hap2.012726
FUN.rk.hap1.014692	228.567821676801	3.43998164891285	0.168869645233617	20.3706334797703	3.04710873268834e-92	7.91606773923666e-90	FUN.rk.hap2.015414
FUN.rk.hap1.006232	314.785599935984	2.46267042985617	0.123151679349564	19.9970511393997	5.84265125373028e-89	1.49168930629721e-86	FUN.rk.hap2.006509
FUN.rk.hap1.013915	233.703648402377	3.40416224259676	0.171029933584097	19.9038973544529	3.76484938768061e-88	9.44913385301262e-86	FUN.rk.hap2.014588
FUN.rk.hap1.010656	56994.332365376	3.54336151908676	0.179438077382477	19.7469877674513	8.51474694903686e-87	2.1014395470223e-84	FUN.rk.hap2.011207
FUN.rk.hap1.040119	4762.17341436597	-3.90422635873879	0.198141998008395	-19.7041838579491	1.98517217634004e-86	4.81908681758087e-84	FUN.rk.hap2.042020
FUN.rk.hap1.013317	1702.22454435263	-2.75031090611993	0.13960037776874	-19.7013142090207	2.10095190050845e-86	5.0178864101176e-84	FUN.rk.hap2.013980
FUN.rk.hap1.012223	130.506555800779	-2.65477142869438	0.135393757768686	-19.6077830503083	1.32690953471391e-85	3.11886926826088e-83	FUN.rk.hap2.012848
FUN.rk.hap1.016343	133.835308426124	2.70399181437728	0.137993891498907	19.5950109458193	1.70548906951784e-85	3.94607533459691e-83	FUN.rk.hap2.017119
FUN.rk.hap1.028953	75.1578158119686	-3.27691212262082	0.167808914433764	-19.5276403144498	6.3925744694641e-85	1.45632681144345e-82	FUN.rk.hap2.030755
FUN.rk.hap1.016806	251.831221197794	2.69099903834626	0.139155675519401	19.3380473221955	2.57025031258999e-83	5.76670706497463e-81	FUN.rk.hap2.017584
FUN.rk.hap1.024946	367.174333137225	-4.01782701575442	0.209191069142091	-19.2064940068037	3.26591215007206e-82	7.21815330123388e-80	FUN.rk.hap2.026339
FUN.rk.hap1.010075	227.990786083037	1.9934072727336	0.104059258123304	19.1564624684478	8.54898273429348e-82	1.86166671072673e-79	FUN.rk.hap2.010621
novel_gene_rk.h1.chr04_107147	72.6471248082324	5.06130616050811	0.264593405665419	19.1286179176672	1.4589097269874e-81	3.13094713583035e-79	novel_gene_rk.h2.chr04_110107
FUN.rk.hap1.032840	217.616302909945	-3.17395647048417	0.167252973239698	-18.9769808512487	2.64357051791286e-80	5.59228460417909e-78	FUN.rk.hap2.035030
FUN.rk.hap1.004535	124.971813149092	-3.87831196690248	0.20512191230252	-18.9073508693826	9.9217454329098e-80	2.06931276578209e-77	FUN.rk.hap2.004753
FUN.rk.hap1.012686	1347.52998458893	1.94368564389504	0.103281401911477	18.8193189472872	5.24544645445745e-79	1.07881348746675e-76	FUN.rk.hap2.013328
FUN.rk.hap1.027302	211.173176274212	-3.60415241754501	0.191778964839403	-18.7932624444143	8.57425681190086e-79	1.73928212151545e-76	FUN.rk.hap2.029007
FUN.rk.hap1.016085	418.230180656157	-10.1894218254281	0.543305956650816	-18.7544820753307	1.77942632147865e-78	3.56077634708862e-76	FUN.rk.hap2.016867
